EQPID,IP,LINE,EQPTYPE,EQPMODEL,ZONE
MSTKF01,172.31.99.128,S5,SPMITK,ALERIS,SI
MSTKF02,172.31.99.129,S5,SPMITK,ALERIS,SI
MSTKF03,172.31.99.130,S5,SPMITK,ALERIS,SI
MSTKV01,172.31.99.131,S5,SPMITK,ALERIS,SI
MCTKF01,172.31.99.132,S5,SPMITK,ALERIS,CU
MCTKF02,172.31.99.133,S5,SPMITK,ALERIS,CU
MCTKV01,172.31.99.134,S5,SPMITK,ALERIS,CU
MSTKF11,172.31.99.135,S5,SPMITK,F1,SI
MSTKF12,172.31.99.136,S5,SPMITK,F1,SI
MSTKF13,172.31.99.137,S5,SPMITK,F1,SI
MSTKF14,172.31.99.138,S5,SPMITK,F1,SI
MSTKA01,172.31.99.139,S3,SPMITK,ALERIS,SI
MSTKA02,172.31.99.140,S3,SPMITK,ALERIS,SI
MSTKA03,172.31.99.141,S3,SPMITK,ALERIS,SI
MCTKA01,172.31.99.142,S3,SPMITK,ALERIS,CU
MCTKA02,172.31.99.143,S3,SPMITK,ALERIS,CU
MCTKD01,172.31.99.144,S3,SPMITK,ALERIS,CU
MSTKA11,172.31.99.145,S3,SPMITK,F1,SI
MSTKA12,172.31.99.146,S3,SPMITK,F1,SI
MSTKA13,172.31.99.147,S3,SPMITK,F1,SI
MSTKB11,172.31.99.148,S3,SPMITK,F1,SI
MSTKB12,172.31.99.149,S3,SPMITK,F1,SI
MSTKB13,172.31.99.150,S3,SPMITK,F1,SI
MSTKD11,172.31.99.151,S3,SPMITK,F1,SI
MSTKD12,172.31.99.152,S3,SPMITK,F1,SI
MSTKE11,172.31.99.153,S3,SPMITK,F1,SI
MSTKE12,172.31.99.154,S3,SPMITK,F1,SI
KSOXF01,172.31.99.155,S5,KOXCMP,IM,SI
KSOXF02,172.31.99.156,S5,KOXCMP,IM,SI
KSOXF03,172.31.99.157,S5,KOXCMP,IM,SI
KSOPF01,172.31.99.158,S5,KOXCMP,IM,SI
KSOPF02,172.31.99.159,S5,KOXCMP,IM,SI
KSOPF03,172.31.99.160,S5,KOXCMP,IM,SI
KSACF01,172.31.99.161,S5,KWWCMP,IM,SI
KSACF02,172.31.99.162,S5,KWWCMP,IM,SI
KCCOF01,192.168.200.109,S5,KCOCMP,IM,CU
KCCOF02,172.31.99.164,S5,KCOCMP,IM,CU
KCCOF03,172.31.99.165,S5,KCOCMP,IM,CU
KCEUV01,172.31.99.166,S5,KCOCMP,IM,CU
KCVIF01,172.31.99.167,S5,KCOCMP,IM,CU
